ID,Company Name,Industry
365,COTY INC.,PERFUMES  COSMETICS & OTHER TOILET PREPARATIONS [2844]
366,VANGUARD WELLINGTON FUND,N/A
367,VANGUARD MONEY MARKET RESERVES,N/A
368,VANGUARD SCOTTSDALE FUNDS,N/A
369,CRESUD INC,REAL ESTATE [6500]
370,ALTO PALERMO SA APSA,OPERATORS OF NONRESIDENTIAL BUILDINGS [6512]
371,CRESUD INC,REAL ESTATE [6500]
372,ALTO PALERMO SA APSA,OPERATORS OF NONRESIDENTIAL BUILDINGS [6512]
373,ALTO PALERMO SA APSA,OPERATORS OF NONRESIDENTIAL BUILDINGS [6512]
374,CRESUD INC,REAL ESTATE [6500]
375,Apollo Medical Holdings  Inc.,SERVICES-MANAGEMENT CONSULTING SERVICES [8742]
376,AIXTRON SE,SPECIAL INDUSTRY MACHINERY  NEC [3559]
377,AIXTRON SE,SPECIAL INDUSTRY MACHINERY  NEC [3559]
378,SIMPSON MANUFACTURING CO INC /CA/,CUTLERY  HANDTOOLS & GENERAL HARDWARE [3420]
379,INTERMOUNTAIN COMMUNITY BANCORP,SAVINGS INSTITUTION  FEDERALLY CHARTERED [6035]
380,METLIFE INC,LIFE INSURANCE [6311]
